time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-01-12 03:00:00,44.1,31.8,62.0,0.0,,260.0,9.2,,1015.4,,3.0
2024-01-12 04:00:00,43.0,30.9,62.0,0.0,,260.0,7.0,,1016.7,,1.0
2024-01-12 05:00:00,43.0,30.9,62.0,0.0,,260.0,7.0,,1016.7,,1.0
2024-01-12 06:00:00,41.0,30.2,65.0,0.0,,250.0,5.8,,1019.0,,1.0
2024-01-12 07:00:00,41.0,30.2,65.0,0.0,,250.0,5.8,,1020.0,,1.0
2024-01-12 08:00:00,41.0,30.2,65.0,0.0,,220.0,5.8,,1020.0,,1.0
2024-01-12 09:00:00,39.0,31.1,73.0,0.0,,210.0,5.8,,1020.5,,2.0
2024-01-12 10:00:00,39.0,30.0,70.0,0.0,,270.0,7.0,,1021.7,,1.0
2024-01-12 11:00:00,39.0,30.0,70.0,0.0,,270.0,7.0,,1021.7,,1.0
2024-01-12 12:00:00,39.9,30.9,70.0,0.0,,210.0,7.0,,1021.7,,3.0
2024-01-12 13:00:00,41.0,32.0,70.0,0.0,,270.0,4.7,,1023.0,,2.0
2024-01-12 14:00:00,41.0,32.0,70.0,0.0,,270.0,4.7,,1023.0,,3.0
2024-01-12 15:00:00,46.9,30.2,52.0,0.0,,260.0,3.4,,1023.6,,3.0
